@lat,@lon,amenity,historic,tourism,shop,office,leisure,craft,boundary,building,railway,admin_level,man_made,name
-41.2579183,174.7663392,place_of_worship,,,,,,,,,,,,Plymouth Brethren Church
-41.1085901,174.8366623,fire_station,,,,,,,,,,,,Titahi Bay Volunteer Fire Brigade
-41.0827233,174.8631239,fire_station,,,,,,,,,,,,Plimmerton Volunteer Fire Brigade
-41.1383522,174.8472175,fire_station,,,,,,,,,,,,Porirua Fire Station
-41.0989965,174.8664294,,ruins,,,,,,,,,,,Paremata Barracks
-41.1051546,174.9158940,parking,,,,,,,,,,,,Pauatahanui Wildlife Reserve
-42.1138741,171.3269333,,,attraction,,,,,,,,,,Pancake Rocks and Blowholes
-41.7631008,171.4576389,,,viewpoint,,,,,,,,,,Cape Foulwind
-43.2453575,172.6763179,place_of_worship,,,,,,,,,,,,Saint Lukes
-43.2483877,172.6688359,pub,,,,,,,,,,,,Anglers Arms Tavern
-43.2486205,172.6683160,fuel,,,,,,,,,,,,Sefton Garage
-40.9871794,174.9543973,,,,,,,,,,station,,,Paekakariki
-41.2848061,174.7712825,,,,,,,,,,station,,,Everton
-41.2845035,174.7730857,,,,,,,,,,station,,,Clifton
-41.1375728,174.8434855,,,,,,,,,,station,,,Porirua
-41.1384652,174.8393822,,,motel,,,,,,,,,,Amethyst Court
-41.1429997,174.8449087,,,motel,,,,,,,,,,Jade Court Motel
-43.2097628,172.6956661,,memorial,,,,,,,,,,,Kowai Peace Memorial
-43.3045626,172.5931269,library,,,,,,,,,,,,Rangiora Public Library
-41.2850601,174.7695705,,,,,,,,,,station,,,Salamanca
-41.1314383,174.8392784,library,,,,,,,,,,,,Porirua City Library
-41.1319102,174.8391926,,,museum,,,,,,,,,,Pataka  Porirua Museum and Art Gallery
-43.2270970,172.7287096,cafe,,,,,,,,,,,,Ashworths Cafe
-43.2098747,172.6967731,public_hall,,,,,,,,,,,,Balcairn Hall
-43.2469604,172.6719550,public_building,,,,,,,,,,,,Sefton Hall
-42.8882586,171.5565089,parking,,,,,,,,,,,,Deaths Corner Lookout
-42.8882128,171.5562541,,,viewpoint,,,,,,,,,,Otira Lookout
-41.2724691,173.2872980,,,,supermarket,,,,,,,,,Fresh Choice Supermarket
-41.3135638,173.2333501,pub,,,,,,,,,,,,Turf
-41.3058733,173.2192210,pub,,,,,,,,,,,,The Honest Lawyer
-41.3129570,173.2338358,pub,,,,,,,,,,,,Squires
-41.4517361,172.8367291,pub,,hotel,,,,,,,,,,Kohatu Hotel
-43.2036830,172.7410427,cafe,,,,,,,,,,,,Pukeko Junction
-41.2183580,174.8116847,,,motel,,,,,,,,,,Glen Alton Motel
-41.1370348,174.8276843,parking,,,,,,,,,,,,Colonial Knob Walkway  Camp Elsdon Entrance
-45.9462326,170.3339851,parking,,,,,,,,,,,,Brighton Beach
-45.7333963,170.5994458,parking,,,,,,,,,,,,Doctor's Point
-41.2820715,173.2486442,pub,,,,,,,,,,,,Smugglers
-43.2493252,172.5286203,place_of_worship,,,,,,,,,,,,Saint Martin
-41.2197436,174.8077360,place_of_worship,,,,,,,,,,,,Saint Johns
-43.2473531,172.5388726,place_of_worship,,,,,,,,,,,,Saint Brigid
-43.2476710,172.5388966,grave_yard,,,,,,,,,,,,St Brigids Church Cemetery
-41.2954600,173.2666505,fuel,,,yes,,,,,,,,,Caltex
-41.2954294,173.2781757,,,attraction,,,,,,,,,,Viewing Platform
-36.9923107,175.5527035,,,attraction,,,,,,,,,,Rapaura Water Gardens
-43.5606545,172.5874915,place_of_worship,,,,,,,,,,,,Rowley Ave Bible Chapel
-43.5545106,172.5908533,place_of_worship,,,,,,,,,,,,Carmelite Monastery
-35.2657854,174.0817689,,,attraction,,,,,,,,,,The Treaty House
-36.3920453,174.7176904,cafe,,,,,,,,,,,,Sandspit Cafe
-43.6015601,172.6474733,parking,,viewpoint,,,,,,,,,,Sugarloaf Car Park
-43.7220666,172.5963832,cafe,,,,,,,,,,,,Iris Garden
-43.6326620,172.6225185,,,viewpoint,,,,,,,,,,Lookout Rock
-44.7190935,168.2776931,shelter,,picnic_site,,,,,,,,,,Old Routeburn Shelter
-44.7269336,168.1705010,shelter,,picnic_site,,,,,,,,,,Harris Saddle
-44.8032844,168.1582434,,,viewpoint,,,,,,,,,,Earland Falls
-36.3935257,174.7282317,,,camp_site,,,,,,,,,,family park Sandspit
-36.7606970,175.4974025,fuel,,,,,,,,,,,,bp
-36.8281060,175.7897557,,,attraction,,,,,,,,,,Cathedral Cove
-43.5329646,172.6388814,,,hotel,,,,,,,,,,Hotel So
-43.6957654,172.4136630,,,camp_site,,,,,,,,,,Coes Ford
-36.7857501,174.8930752,,,,,,slipway,,,,,,,Yankee Wharf
-38.6870024,176.0692200,,,information,,,,,,,,,,Taupo i-Site Visitor Information Centre
-43.5333989,172.5924610,place_of_worship,,,,,,,,,,,,Riccarton Baptist
-43.5348861,172.5899977,,,,convenience,,,,,,,,,Harrington Park Dairy
-36.8517246,174.7653992,library,,,,,,,,,,,,Auckland Central Library
-36.8512381,174.7662434,arts_centre,,,,,,,,,,,,Auckland Art Gallery
-36.8398765,174.7657354,,,hotel,,,,,,,,,,Auckland Hilton
-37.9900460,177.1624196,,,camp_site,,,,,,,,,,Ohiwa Family Holiday Park
-38.7542407,177.1548049,,,camp_site,,,,,,,,,,Waikaremoana Motor Camp
-38.7434312,177.1602701,,,attraction,,,,,,,,,,Aniwaniwa Falls
-38.7450317,177.1624406,,,information,,,,,,,,,,Aniwaniwa Visitor Center
-43.5879129,172.8034185,parking,,,,,,,,,,,,Godley Head Carpark
-36.8661991,174.7783286,cinema,,,,,,,,,,,,Event Cinemas
-36.8659353,174.7783937,,,,,,swimming_pool,,,,,,,The Olympic
-36.7981890,174.7834468,fuel,,,,,,,,,,,,BP
-36.8151213,174.8060139,,,attraction,,,,,,,,,,Fort Takapuna
-36.8474612,174.7598806,pub,,,,,,,,,,,,The Empire
-36.8750629,174.7515416,bank,,,,,,,,,,,,Westpac Dominion Road
-38.1798866,175.2126680,,,camp_site,,,,,,,,,,Camp Kiwi Holiday Park
-36.8520360,174.7603682,police,,,,,,,,,,,,Central Auckland Police Station
-36.9226323,174.7834399,,,,supermarket,,,,,,,,,Countdown Onehunga
-38.9866792,177.7920173,,,attraction,,,,,,,,,,Morere Hot Springs
-36.8308190,174.7973418,bank,,,,,,,,,,,,Westpac
-36.8305489,174.7975149,restaurant,,,,,,,,,,,,Manuka
-36.8805974,174.7250270,fuel,,,,,,,,,,,,Z
-36.8740587,174.7418130,fuel,,,,,,,,,,,,Mobil
-46.4440182,169.8028351,parking,,viewpoint,,,,,,,,,,Roaring Bay
-36.7517865,174.7280984,bus_station,,,,,,,,,,,,Constellation
-36.7615159,174.7380770,bus_station,,,,,,,,,,,,Sunnynook
-36.8706483,174.7485282,fuel,,,,,,,,,,,,Gull
-36.8760793,174.7508298,bank,,,,,,,,,,,,ANZ
-41.2941527,174.7805310,,,hostel,,,,,,,,,,Wellywood Backpackers
-41.2945163,174.7833025,,,hostel,,,,,,,,,,X-Base Backpackers
-41.2922370,174.7801048,cinema,,,,,,,,,,,,Reading Cinema
-36.8838340,174.7350720,library,,,,,,,,,,,,Mount Albert Community Library
-45.7758804,170.7291783,,,attraction,,,,,,,,,,Taiaroa Head
-45.8616445,170.6271828,,castle,attraction,,,,,,,,,,Larnach's Castle
-45.8740070,170.5862926,,,,,,garden,,,,,,,Glenfalloch Gardens
-41.2909669,174.7803162,fuel,,,,,,,,,,,,BP
-41.2860913,174.7745530,parking,,,,,,,,,,,,Plimmer Towers Carpark
-41.2855431,174.7743040,parking,,,,,,,,,,,,Gilmer Terrace Carpark
-41.2908410,174.7741339,,,hotel,,,,,,,,,,Abel Tasman Hotel
-41.2906927,174.7736704,,,hotel,,,,,,,,,,Just Hotel
-41.2904741,174.7742333,parking,,,,,,,,,,,,The Willis Street Carpark
-41.2892997,174.7743762,,,hotel,,,,,,,,,,Hotel St. George
-41.2844464,174.7744890,,,hotel,,,,,,,,,,James Cook
-41.2896835,174.7767278,,,hotel,,,,,,,,,,West Plaza Hotel
-41.2901406,174.7765194,parking,,,,,,,,,,,,The Lombard Carpark
-41.2888802,174.7765606,,,information,,,,,,,,,,Wellington i-Site
-36.8971391,174.7694581,place_of_worship,,,,,,,,,,,,Mercy Spiritiuality Centre
-41.2944994,174.7759886,parking,,,,,,,,,,,,Marion Street Car Park
-41.2952482,174.7749056,,,hotel,,,,,,,,,,Comfort Hotel
-41.2955115,174.7746954,,,hotel,,,,,,,,,,Quality Hotel
-36.9665396,174.7973338,fire_station,,,,,,,,,,,,Mangere Fire Station
-36.9674783,174.7977978,police,,,,,,,,,,,,Mangere Police Station
-36.9192020,174.7220021,community_centre,,,,,,,,,,,,Lynfield Recreation Centre
-36.7841109,175.0109026,fuel,,,,,,,,,,,,BP
-41.2975165,174.7799081,,,,department_store,,,,,,,,,The Warehouse
-36.7881926,175.0813764,cafe,,,,,,,,,,,,4th Avenue Bar and Eatery
-36.7882111,175.0829263,cafe,,,,,,,,,,,,Charlie Farleys
-36.7922488,175.0796613,fuel,,,,,,,,,,,,Z
-41.5091561,173.9594077,,,information,,,,,,,,,,Information Centre
-41.5090473,173.9599519,,,,,,,,,,station,,,Blenheim
-36.7970197,175.0911013,,,viewpoint,,,,,,,,,,Kauri Grove
-41.2927350,174.7730322,,,hotel,,,,,,,,,,Quest on Willis
-42.4167564,173.7070326,,house,museum,,,,,,,,,,Fyffe House
-42.4027212,173.6832066,,,information,,,,,,,,,,Kaikoura iSite
-36.8246358,174.6080738,library,,,,,,,,,,,,Massey Leisure Centre and Library
-43.5815852,172.6354362,restaurant,,,,,,,,,,,,The Sign of the Takahe
-41.2925734,174.7747636,parking,,,,,,,,,,,,Leftbank Carpark
-43.3861226,170.1834367,,,motel,,,,,,,,,,Punga Grove Motel
-43.4251161,170.1688755,,,viewpoint,,,,,,,,,,Glacier Viewpoint
-43.8612216,169.0457377,,,information,,,,,,,,,,Department of Conservation Haast Pass Visitor Centre
-44.3970805,171.2514156,,,museum,,,,,,,,,,South Canterbury Regional Museum
-45.1011589,170.9482782,,,motel,,,,,,,,,,Holmes Hill Motel
-45.1028126,170.9700281,pub,building,,,,,,,,,,,Criterion Hotel
-46.3850243,169.7807072,,,motel,,,,,,,,,,Nugget View and Kaka Point Motels
-46.3860867,169.7825791,pub,,,,,,,,,,,,The Point
-46.5174347,169.5610674,,,attraction,,,,,,,,,,Purakaunui Falls
-46.5918337,169.3569275,cafe,,,,,,,,,,,,Whistling Frog Cafe
-46.5029615,169.4882271,,,viewpoint,,,,,,,,,,Matai Falls
-46.5030875,169.4887635,,,viewpoint,,,,,,,,,,Horseshoe falls
-41.2930957,174.7780166,parking,,,,,,,,,,,,Hope Gibbons Carpark
-46.6080396,169.3825051,,,attraction,,,,,,,,,,Cathedral Caves
-46.5744103,169.4593358,,,viewpoint,,,,,,,,,,Florence Hill Lookout
-46.6617964,169.0981496,,,attraction,,,,,,,,,,Penguin Viewpoint
-46.6149494,168.3387750,,,viewpoint,,,,,,,,,,Bluff Hill Lookout
-46.6743130,169.0016008,,,viewpoint,,,,,,,,,,Slope Point
-46.6600225,168.8470038,,building,,,,,,,,,,lighthouse,Waipapa Point Lighthouse
-41.1136597,174.4331899,,building,,,,,,,,,,lighthouse,Brothers Island Lighthouse
-41.5278065,174.0012040,,building,,,,,,,,,,,Riverlands Cob Cottage
-46.4129029,168.3484121,cafe,,,,,,,,,,,,Zookeepers Cafe
-41.2848040,174.7752725,,,hotel,,,,,,,,,,City Life Hotel
-41.2856102,174.7748348,,,hotel,,,,,,,,,,Quest on Gilmer
-46.3530693,167.9503138,,,viewpoint,,,,,,,,,,Scenic Lookout
-46.2279804,167.6690295,,,viewpoint,,,,,,,,,,Lookout
-44.7210983,167.9478076,,,viewpoint,,,,,,,,,,The Chasm
-41.2936502,174.7785545,place_of_worship,,,,,,,,,,,,Wesley Methodist Church
-41.2930794,174.7853283,,,hotel,,,,,,,,,,The Bay plaza Hotel
-45.0284211,168.0111809,,,viewpoint,,,,,,,,,,Mirror Lakes
-41.2915663,174.7735983,pharmacy,,,,,,,,,,,,Alexander Pharmacy
-44.8051709,168.1018548,,,attraction,,,,,,,,,,Marian Cascade
-44.6961983,168.1286271,,,viewpoint,,,,,,,,,,Humboldt Falls Lookout
-36.8613634,174.7578395,pub,,,,,,,,,,,,The King's Arms
-45.2457117,168.7428677,,,viewpoint,,,,,,,,,,Devil's Staircase Lookout
-45.0152091,168.7315866,fuel,,,,,,,,,,,,BP
-39.4791718,176.8827766,,,hotel,,,,,,,,,,Bamboo Lodge
-41.4490742,175.2277048,,,,,,nature_reserve,,,,,,,Putangirua Pinnacles
-41.2951348,174.7828769,pub,,hotel,,,,,,,,,,Cambridge Hotel
-41.2909046,174.7725742,,,hostel,,,,,,,,,,Rosemere Backpackers
-36.9242188,174.7020012,library,,,,,,,,,,,,Blockhouse Bay Library
-41.2952356,174.7837324,,,hotel,,,,,,,,,,Halswell Lodge
-41.2947106,174.7865578,,,motel,,,,,,,,,,Apollo Lodge Motel
-41.2993871,174.7837728,,,guest_house,,,,,,,,,,Richmond Guest House
-41.3006973,174.7838268,,,hostel,,,,,,,,,,Maple Lodge Backpackers
-35.6077332,173.5351216,parking,,,,,,,,,,,,four sisters
-35.6006381,173.5280305,parking,,,,,,,,,,,,Tane Mahuta
-35.3801805,174.0644082,,,,,,,,,,station,,,Kawakawa
-41.2970489,174.7719778,childcare,,,,,,,,,,,,Moriah Kindergarten
-41.3062341,174.7781359,,,,car_repair,,,,,,,,,Beaurepaires
-41.2887978,174.7779919,kindergarten,,,,,,,,,,,,The Playground
-41.2819171,174.7780321,pharmacy,,,,,,,,,,,,Featherston Street Pharmacy
-41.2808913,174.7775565,parking,,,,,,,,,,,,Wilson
-41.2766696,174.7771013,parking,,,,,,,,,,,,Cathedral Carpark
-41.2801222,174.7754825,pharmacy,,,,,,,,,,,,The Terrace Pharmacy
-41.2866630,174.7759719,pharmacy,,,,,,,,,,,,Radius Pharmacy
-41.2875852,174.7754378,pharmacy,,,,,,,,,,,,Unichem Pharmacy
-41.2877988,174.7753292,,,,supermarket,,,,,,,,,New World Metro
-41.2824718,174.7756117,pharmacy,,,,,,,,,,,,Radius Pharmacy
-41.2932630,174.7731994,car_rental,,,,,,,,,,,,Apex Car Rental
-41.2924806,174.7686548,,,,,,,,,,,,surveillance,
-41.2805603,174.7747499,parking,,,,,,,,,,,,North Terrace Car Park
-41.2825051,174.7742653,parking,,,,,,,,,,,,Clifton Car Park
-41.2836145,174.7747929,,,hotel,,,,,,,,,,Novotel
-41.2847432,174.7738231,,,hotel,,,,,,,,,,Quest Atrium
-41.2929178,174.7757913,pharmacy,,,,,,,,,,,,Amcal Cuba Mall Pharmacy
-41.2858296,174.7752628,,,hotel,,,,,,,,,,Travelodge
-41.3034624,174.7781469,place_of_worship,,,,,,,,,,,,St Pauls
-41.3019041,174.7798775,hospital,,,,,,,,,,,,Accident and Urgent Medical Centre
-41.3019660,174.7797714,pharmacy,,,,,,,,,,,,After Hours Pharmacy
-44.1841598,170.1506179,,,camp_site,,,,,,,,,,Pines Camp
-43.7185978,170.0935209,,,camp_site,,,,,,,,,,White Horse Hill Camping Area
-41.3033811,174.7789486,fast_food,,,,,,,,,,,,Pizza Hut
-41.2937253,174.7815293,pharmacy,,,,,,,,,,,,UFS Pharmacy
-41.2956135,174.7826081,fast_food,,,,,,,,,,,,Domino's Pizza
-41.2936549,174.7836014,theatre,,,,,,,,,,,,Hannah Playhouse
-41.2936427,174.7812209,fast_food,,,,,,,,,,,,Burger King
-41.2911375,174.7802529,fast_food,,,,,,,,,,,,McDonald's Taranaki Street
-36.8940297,174.6194450,,,,convenience,,,,,,,,,Night n Day
-39.6790086,175.8000742,fuel,,,,,,,,,,,,BP Taihape
-39.9361361,175.5688986,fuel,,,,,,,,,,,,BP
-39.9372154,175.5684694,fuel,,,,,,,,,,,,Challenge!
-40.0764550,175.3797268,,,,supermarket,,,,,,,,,New World
-40.2263549,175.5636416,pub,,,,,,,,,,,,Feilding Hotel
-40.2253232,175.5640595,pub,,,,,,,,,,,,Drovers Return
-40.2248522,175.5666655,fuel,,,,,,,,,,,,BP Feilding
-40.0687277,175.3758129,library,,,,,,,,,,,,Marton Library
-40.0679639,175.3782749,,,,supermarket,,,,,,,,,Countdown
-39.6770337,175.7985620,,,,supermarket,,,,,,,,,New World Taihape
-43.5302439,172.5753513,post_office,,,,,,,,,,,,NZ Post Office
-43.5315727,172.5746433,bar,,,,,,,,,,,,LoneStar Cafe and Bar
-41.2869427,174.7753168,parking,,,,,,,,,,,,Data General Carpark
-41.2892277,174.7737351,,,hotel,,,,,,,,,,Boulcott Suites
-41.2894502,174.7740081,,,hotel,,,,,,,,,,Flagstaff Village
-41.2899093,174.7740122,,,hotel,,,,,,,,,,Willis Village
-41.2903608,174.7738320,,,hotel,,,,,,,,,,Stratford Apartment Hotel
-40.2196513,175.4230339,fuel,,,,,,,,,,,,Z
-41.2915084,174.7768265,atm,,,,,,,,,,,,ASB
-41.2913742,174.7766832,atm,,,,,,,,,,,,National Bank
-41.2923438,174.7800592,fast_food,,,,,,,,,,,,McDonald's
-43.5122491,171.5502090,parking,,,,,,,,,,,,Rakaia Carpark
-41.2900043,174.7755446,atm,,,,,,,,,,,,ASB
-41.2902298,174.7758781,atm,,,,,,,,,,,,Kiwibank
-41.2905386,174.7760603,atm,,,,,,,,,,,,National Bank
-41.2912158,174.7767126,atm,,,,,,,,,,,,ANZ
-41.2915963,174.7766697,atm,,,,,,,,,,,,Westpac
-41.2915576,174.7775795,atm,,,,,,,,,,,,BNZ
-41.2927099,174.7762302,atm,,,,,,,,,,,,BNZ
-41.2926470,174.7760323,atm,,,,,,,,,,,,ANZ
-41.2932306,174.7758411,atm,,,,,,,,,,,,National Bank
-41.2932276,174.7756628,atm,,,,,,,,,,,,National Bank
-41.2942175,174.7751300,atm,,,,,,,,,,,,Kiwibank
-41.2944652,174.7752257,atm,,,,,,,,,,,,Westpac
-41.2925244,174.7793138,atm,,,,,,,,,,,,National Bank
-41.3093427,174.7782458,,,motel,,,,,,,,,,Ascot Motor Lodge
-41.3061721,174.7791292,kindergarten,,,,,,,,,,,,Child Care Centre
-41.2928649,174.7788397,fast_food,,,,,,,,,,,,Burger Fuel
-43.3341590,171.9308153,,,,,,,,,,station,,,Springfield
-42.8286653,171.5625958,,,,,,,,,,station,,,Otira
-42.5768849,171.4780171,,,,,,,,,,station,,,Moana
-42.4477362,171.2109804,,,attraction,,,,,,,,,,Mawhera Quay
-40.1380518,175.6606463,pub,,,,,,,,,,,,Cheltenham Hotel
-41.3043273,174.7927439,kindergarten,,,,,,,,,,,,Hataitai Kindergarten
-41.2985241,174.7890875,,,,,,sports_centre,,,,,,,Victoria Bowling Club
-41.2999389,174.7844691,,,hostel,,,,,,,,,,Rawena's Lodge Backpackers
-41.2908374,174.7753309,,,hotel,,,,,,,,,,Central City Apartment Hotel
-41.2903884,174.7755392,bank,,,,,,,,,,,,Bank of New Zealand
-43.5718258,172.5709601,fuel,,,,,,,,,,,,BP Petrol Station Halswell Road
-43.5823444,172.5692397,fuel,,,,,,,,,,,,Challenge Halswell Service Station
-43.5918197,172.7356730,,memorial,,,,,,,,,,,Gun Emplacements
-41.2929603,174.7722854,arts_centre,,,,,,,,,,,,Mark Hutchins Gallery
-41.2890987,174.7768045,townhall,,,,,,,,,,,,Wellington City Council
-41.2899561,174.7776924,atm,,,,,,,,,,,,National Bank
-41.2918578,174.7814475,parking,,,,,,,,,,,,The Wakefield Street Carpark
-41.2922107,174.7815312,,,,bicycle,,,,,,,,,Bike Barn Wellington
-43.6541619,172.5565139,,,,,,golf_course,,,,,,,Tai Tapu Golf Club
-43.4562229,172.4461140,,,information,,,,,,,,,,map
-43.4547601,172.4506187,,,information,,,,,,,,,,map
-43.4535846,172.4727082,,,information,,,,,,,,,,map
-43.4539330,172.4595406,,,information,,,,,,,,,,map
-40.0418916,175.1772377,fire_station,,,,,,,,,,,,Ratana Volunteer Fire Brigade
-43.6064380,172.6453335,,monument,,,,,,,,,,,Sign of the Kiwi
-39.1755199,175.3931272,,,,,,,,,,station,,,National Park
-43.5906646,172.3801044,fuel,,,,,,,,,,,,BP
-40.2254168,175.5670421,police,,,,,,,,,,,,Feilding Police Station
-36.9195430,174.7577078,pharmacy,,,,,,,,,,,,Hillsborough Chemist
-36.8824301,174.7623376,pub,,,,,,,,,,,,De Post
-43.1966071,171.7429748,,,attraction,,,,,,,,,,Cave Stream Reserve
-43.5199871,172.5347836,fuel,,,,,,,,,,,,Caltex
-41.2958474,174.7388675,,,attraction,,,,,,,,,,Wright's Hill Fortress
-43.7308227,172.6909464,parking,,,,,,,,,,,,Kaituna Valley Walkway
-36.8632940,174.7800547,library,,,,,,,,,,,,Parnell Library
-42.5269355,172.8416572,,ruins,,,,,,,,,,,Nurserymans Cottage
-36.8634515,174.7367472,studio,,,,,,,,,,,,Face Television
-43.4542514,172.4425377,,,information,,,,,,,,,,map
-41.2949901,174.7981442,,,viewpoint,,,,,,,,,,Centennial Lookout
-43.9020774,171.7483075,courthouse,,,,,,,,,,,,Ashburton Court
-43.5710936,172.7134409,,,information,,,,,,,,,,old Heathcote Quarry site
-40.8943659,174.9794604,restaurant,,,,,,,,,,,,China Beach Restaurant
-43.4682861,172.6826809,,,information,,,,,,,,,,Info Centre
